Employee ID,StartDate,StartYear,ExitDate,Title,BusinessUnit,DepartmentType,Division,EmployeeStatus,IsTerminated,TerminationType,TerminationReason,Regrettable,EmployeeType,EmployeeClassificationType,PayZone,Age,AgeBand,TenureYears,TenureBand,State,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,PhotoFile
3441,4/28/2019,2019,,Area Sales Manager,BPC,Sales,General - Con,Active,0,,,,Part-Time,Part-Time,Zone A,43,35-44,4.34,4+ yrs,NV,Fully Meets,3,2,4,3,Project Management,Internal,Passed,4,798.64,face_42.jpg
3442,7/9/2019,2019,,Area Sales Manager,PYZ,IT/IS,Field Operations,Active,0,,,,Full-Time,Full-Time,Zone A,31,25-34,4.15,4+ yrs,MA,Fully Meets,2,2,2,2,Project Management,External,Incomplete,4,1075.26,face_43.jpg
3443,4/5/2021,2021,,Area Sales Manager,WBL,IT/IS,Project Management - Con,Active,0,,,,Full-Time,Part-Time,Zone C,41,35-44,2.41,2-3 yrs,KY,Exceeds,4,5,4,4,Technical Skills,External,Passed,3,1518.17,face_44.jpg
3444,11/28/2021,2021,,Area Sales Manager,NEL,Sales,Engineers,Active,0,,,,Contract,Part-Time,Zone A,29,25-34,1.76,1-2 yrs,KY,Fully Meets,3,3,2,2,Technical Skills,External,Completed,2,2043.6,face_45.jpg
3445,1/16/2021,2021,00:06.8,Area Sales Manager,PL,Sales,Project Management - Con,Terminated,1,Voluntary,Compensation,Regrettable,Contract,Full-Time,Zone C,45,45-54,2.62,2-3 yrs,KY,Exceeds,5,5,5,5,Project Management,External,Passed,2,1205.83,face_46.jpg
3446,8/24/2021,2021,,Area Sales Manager,BPC,Sales,Field Operations,Active,0,,,,Part-Time,Part-Time,Zone A,37,35-44,2.02,2-3 yrs,TX,Fully Meets,2,1,4,2,Technical Skills,Internal,Failed,5,971.82,face_47.jpg
3450,9/1/2020,2020,,Area Sales Manager,MSC,Sales,Field Operations,Active,0,,,,Contract,Temporary,Zone C,36,35-44,3,3-4 yrs,CO,Fully Meets,3,3,1,1,Technical Skills,Internal,Incomplete,4,943.38,face_01.jpg
3451,2/18/2021,2021,,Area Sales Manager,TNS,Sales,General - Con,Active,0,,,,Contract,Full-Time,Zone C,32,25-34,2.53,2-3 yrs,CO,Fully Meets,3,1,3,5,Technical Skills,External,Passed,1,1369.63,face_02.jpg
3452,11/8/2022,2022,,Area Sales Manager,PYZ,Sales,General - Con,Active,0,,,,Part-Time,Part-Time,Zone A,47,45-54,0.81,<1 yr,IN,Exceeds,5,5,5,4,Customer Service,Internal,Passed,1,444.49,face_03.jpg
3453,10/13/2022,2022,26:18.2,Area Sales Manager,WBL,Sales,Fielders,Terminated,1,Involuntary,Restructuring,,Contract,Part-Time,Zone C,35,35-44,0.88,<1 yr,MA,Fully Meets,3,5,3,3,Customer Service,External,Incomplete,5,719.87,face_04.jpg
3454,9/11/2022,2022,,Area Sales Manager,PYZ,IT/IS,General - Con,Active,0,,,,Full-Time,Full-Time,Zone C,33,25-34,0.97,<1 yr,KY,Needs Improvement,2,2,3,4,Communication Skills,Internal,Incomplete,3,278.6,face_05.jpg
3455,6/29/2021,2021,,Area Sales Manager,WBL,Sales,Project Management - Eng,Active,0,,,,Full-Time,Temporary,Zone C,34,25-34,2.17,2-3 yrs,KY,Fully Meets,2,1,2,1,Project Management,External,Incomplete,1,1065.71,face_06.jpg
3456,3/6/2023,2023,,Area Sales Manager,NEL,Sales,Field Operations,Active,0,,,,Full-Time,Temporary,Zone A,41,35-44,0.49,<1 yr,KY,Fully Meets,2,2,3,1,Technical Skills,External,Completed,2,1384.22,face_07.jpg
3457,9/25/2020,2020,,Area Sales Manager,PL,Sales,Engineers,Active,0,,,,Full-Time,Temporary,Zone B,41,35-44,2.93,2-3 yrs,KY,Fully Meets,3,2,2,1,Customer Service,External,Failed,4,569.65,face_08.jpg
3460,2/19/2020,2020,29:55.7,Area Sales Manager,SVG,Sales,Aerial,Terminated,1,Involuntary,Performance,,Full-Time,Full-Time,Zone A,42,35-44,3.53,3-4 yrs,TX,PIP,2,2,2,2,Communication Skills,External,Incomplete,5,541.91,face_11.jpg
3462,9/13/2018,2018,,Area Sales Manager,MSC,Sales,Field Operations,Active,0,,,,Contract,Full-Time,Zone A,43,35-44,4.97,4+ yrs,CO,Fully Meets,4,4,2,4,Project Management,External,Passed,1,1354.24,face_13.jpg
3463,4/30/2020,2020,19:39.0,Area Sales Manager,TNS,Sales,Field Operations,Terminated,1,Involuntary,Performance,,Part-Time,Temporary,Zone A,56,55-64,3.34,3-4 yrs,IN,PIP,1,1,1,1,Technical Skills,Internal,Incomplete,4,1301.29,face_14.jpg
3464,12/3/2018,2018,,Area Sales Manager,PYZ,Sales,Shop (Fleet),Active,0,,,,Contract,Full-Time,Zone B,35,35-44,4.74,4+ yrs,MA,Fully Meets,2,3,2,3,Customer Service,External,Passed,2,637.76,face_15.jpg
3465,11/8/2021,2021,,Area Sales Manager,WBL,Sales,General - Con,Active,0,,,,Full-Time,Full-Time,Zone B,33,25-34,1.81,1-2 yrs,MA,Fully Meets,3,3,3,2,Communication Skills,External,Incomplete,1,637.86,face_16.jpg
3466,4/13/2022,2022,,Area Sales Manager,PYZ,IT/IS,Aerial,Active,0,,,,Part-Time,Full-Time,Zone C,30,25-34,1.39,1-2 yrs,KY,Fully Meets,2,5,1,1,Customer Service,External,Failed,3,536.04,face_17.jpg
3467,5/6/2020,2020,,Area Sales Manager,WBL,Sales,Fielders,Active,0,,,,Contract,Part-Time,Zone A,43,35-44,3.32,3-4 yrs,KY,Fully Meets,4,4,3,3,Technical Skills,Internal,Incomplete,1,995.49,face_18.jpg
3468,9/9/2019,2019,,Area Sales Manager,NEL,Sales,Wireline Construction,Active,0,,,,Contract,Temporary,Zone B,48,45-54,3.98,3-4 yrs,KY,Fully Meets,4,4,3,5,Customer Service,Internal,Incomplete,3,542.06,face_19.jpg
3471,2/29/2020,2020,,Area Sales Manager,CCDR,Sales,Field Operations,Active,0,,,,Part-Time,Temporary,Zone C,37,35-44,3.5,3-4 yrs,TX,Exceeds,4,3,5,2,Customer Service,External,Incomplete,3,924.06,face_22.jpg
3472,1/15/2023,2023,,Area Sales Manager,SVG,Sales,Project Management - Con,Active,0,,,,Contract,Full-Time,Zone C,29,25-34,0.63,<1 yr,TX,Fully Meets,3,3,2,3,Technical Skills,External,Incomplete,5,1756.99,face_23.jpg
3473,6/29/2023,2023,,Area Sales Manager,EW,Sales,Shop (Fleet),Active,0,,,,Part-Time,Temporary,Zone A,29,25-34,0.18,<1 yr,CO,Fully Meets,4,5,3,4,Communication Skills,External,Incomplete,5,602.75,face_24.jpg
3474,3/9/2020,2020,,Area Sales Manager,MSC,Sales,Catv,Active,0,,,,Full-Time,Temporary,Zone A,44,35-44,3.48,3-4 yrs,CO,Exceeds,4,2,2,5,Customer Service,External,Failed,5,595.77,face_25.jpg
3475,9/21/2021,2021,,Area Sales Manager,TNS,Sales,General - Con,Active,0,,,,Full-Time,Temporary,Zone C,43,35-44,1.94,1-2 yrs,IN,Fully Meets,3,1,4,4,Customer Service,Internal,Completed,2,664.05,face_26.jpg
3476,6/12/2023,2023,,Area Sales Manager,PYZ,Sales,Fielders,Active,0,,,,Part-Time,Temporary,Zone A,41,35-44,0.22,<1 yr,MA,Fully Meets,4,3,2,3,Leadership Development,Internal,Passed,4,1175.73,face_27.jpg
3477,4/7/2019,2019,,Area Sales Manager,PYZ,IT/IS,Aerial,Active,0,,,,Part-Time,Full-Time,Zone A,33,25-34,4.4,4+ yrs,KY,Fully Meets,3,5,3,5,Leadership Development,External,Passed,5,1829.38,face_28.jpg
3478,9/17/2018,2018,,Area Sales Manager,WBL,Sales,Wireline Construction,Active,0,,,,Full-Time,Temporary,Zone C,41,35-44,4.96,4+ yrs,KY,Fully Meets,3,3,5,2,Technical Skills,External,Passed,1,1386.58,face_29.jpg
3479,8/2/2022,2022,,Area Sales Manager,NEL,Sales,Project Management - Con,Active,0,,,,Contract,Part-Time,Zone A,38,35-44,1.08,1-2 yrs,TX,Fully Meets,3,2,4,3,Communication Skills,Internal,Completed,3,615.47,face_30.jpg
3483,9/26/2021,2021,,Area Sales Manager,SVG,Sales,Project Management - Con,Active,0,,,,Part-Time,Temporary,Zone B,39,35-44,1.93,1-2 yrs,CO,Fully Meets,2,1,1,3,Project Management,External,Failed,4,991.88,face_34.jpg
3484,8/29/2018,2018,,Area Sales Manager,EW,Sales,General - Con,Active,0,,,,Part-Time,Full-Time,Zone B,46,45-54,5.01,4+ yrs,CO,Fully Meets,4,4,4,3,Project Management,External,Failed,1,1305.49,face_35.jpg
3485,10/26/2021,2021,,Area Sales Manager,MSC,Sales,Field Operations,Active,0,,,,Contract,Full-Time,Zone C,39,35-44,1.85,1-2 yrs,CO,Fully Meets,3,4,2,4,Customer Service,Internal,Completed,2,511.98,face_36.jpg
3486,10/31/2022,2022,,Area Sales Manager,TNS,Sales,Fielders,Active,0,,,,Part-Time,Temporary,Zone C,42,35-44,0.84,<1 yr,IN,PIP,1,1,1,2,Project Management,Internal,Incomplete,5,908.45,face_37.jpg
3487,3/15/2023,2023,,Area Sales Manager,BPC,Sales,General - Sga,Active,0,,,,Contract,Part-Time,Zone B,37,35-44,0.47,<1 yr,KY,Exceeds,3,3,2,3,Project Management,External,Failed,5,1481.8,face_38.jpg
3488,9/9/2022,2022,,Area Sales Manager,CCDR,Sales,Wireline Construction,Active,0,,,,Contract,Full-Time,Zone B,39,35-44,0.98,<1 yr,KY,Fully Meets,2,2,3,1,Communication Skills,Internal,Passed,1,299.75,face_39.jpg
3489,3/4/2022,2022,,Area Sales Manager,EW,Sales,Field Operations,Active,0,,,,Part-Time,Temporary,Zone A,42,35-44,1.49,1-2 yrs,TX,Fully Meets,3,5,5,4,Project Management,Internal,Incomplete,1,810.41,face_40.jpg
3490,2/11/2019,2019,,Area Sales Manager,MSC,Sales,General - Sga,Active,0,,,,Part-Time,Part-Time,Zone A,26,25-34,4.55,4+ yrs,TX,Fully Meets,3,4,3,3,Technical Skills,Internal,Failed,3,893.92,face_41.jpg
3491,1/26/2021,2021,52:17.7,Area Sales Manager,NEL,Sales,Field Operations,Terminated,1,Involuntary,Performance,,Contract,Full-Time,Zone B,35,35-44,2.6,2-3 yrs,TX,Needs Improvement,2,3,3,4,Project Management,Internal,Passed,3,888.5,face_42.jpg
3492,11/26/2019,2019,,Area Sales Manager,PL,Sales,General - Con,Active,0,,,,Full-Time,Full-Time,Zone C,34,25-34,3.76,3-4 yrs,CO,Fully Meets,3,5,2,4,Project Management,Internal,Completed,3,928.66,face_43.jpg
3493,7/15/2019,2019,,Area Sales Manager,PYZ,Sales,Project Management - Con,Active,0,,,,Full-Time,Full-Time,Zone C,33,25-34,4.13,4+ yrs,CO,Exceeds,5,4,2,4,Project Management,Internal,Completed,3,753.42,face_44.jpg
3494,6/18/2020,2020,,Area Sales Manager,SVG,Sales,General - Con,Active,0,,,,Contract,Full-Time,Zone B,36,35-44,3.2,3-4 yrs,CO,Fully Meets,2,1,1,2,Technical Skills,Internal,Passed,2,955.83,face_45.jpg
3495,6/22/2023,2023,,Area Sales Manager,TNS,Sales,Wireline Construction,Active,0,,,,Part-Time,Temporary,Zone B,49,45-54,0.19,<1 yr,IN,Fully Meets,4,2,4,4,Customer Service,External,Passed,1,728.23,face_46.jpg
3496,12/2/2021,2021,08:33.8,Area Sales Manager,WBL,Sales,General - Sga,Terminated,1,Voluntary,Compensation,Regrettable,Contract,Part-Time,Zone A,30,25-34,1.75,1-2 yrs,CA,Fully Meets,3,2,2,3,Project Management,Internal,Passed,1,652.05,face_47.jpg
3497,12/8/2021,2021,,Area Sales Manager,TNS,Sales,Project Management - Con,Active,0,,,,Part-Time,Temporary,Zone C,45,45-54,1.73,1-2 yrs,OR,Fully Meets,3,3,3,3,Communication Skills,Internal,Passed,2,456.58,face_48.jpg
3498,4/26/2023,2023,54:40.6,Area Sales Manager,PYZ,Sales,General - Sga,Terminated,1,Voluntary,Relocation,Regrettable,Full-Time,Full-Time,Zone A,22,<25,0.35,<1 yr,KY,Fully Meets,3,3,3,3,Project Management,External,Completed,1,955.49,face_49.jpg
3499,9/25/2018,2018,,Area Sales Manager,WBL,Sales,Field Operations,Active,0,,,,Part-Time,Temporary,Zone C,36,35-44,4.93,4+ yrs,KY,Exceeds,4,5,5,2,Technical Skills,Internal,Failed,2,1198.23,face_50.jpg
3500,11/20/2018,2018,,Area Sales Manager,NEL,Sales,Shop (Fleet),Active,0,,,,Full-Time,Part-Time,Zone B,40,35-44,4.78,4+ yrs,TX,Fully Meets,3,5,4,3,Leadership Development,External,Passed,4,1331.13,face_01.jpg
3502,10/1/2019,2019,,Area Sales Manager,BPC,Sales,Splicing,Active,0,,,,Full-Time,Temporary,Zone C,43,35-44,3.92,3-4 yrs,TX,Needs Improvement,2,3,2,3,Customer Service,External,Incomplete,3,633.86,face_03.jpg
3503,1/20/2022,2022,,Area Sales Manager,CCDR,Sales,Project Management - Con,Active,0,,,,Part-Time,Temporary,Zone A,43,35-44,1.61,1-2 yrs,CO,Fully Meets,3,3,3,2,Technical Skills,Internal,Incomplete,4,917.21,face_04.jpg
3504,10/10/2021,2021,,Area Sales Manager,SVG,Sales,General - Con,Active,0,,,,Full-Time,Part-Time,Zone B,44,35-44,1.89,1-2 yrs,CO,Fully Meets,3,3,3,3,Communication Skills,Internal,Completed,5,407.53,face_05.jpg
3505,8/29/2020,2020,,Area Sales Manager,EW,Sales,Field Operations,Active,0,,,,Contract,Temporary,Zone B,35,35-44,3.01,3-4 yrs,IN,Fully Meets,3,4,5,5,Leadership Development,Internal,Failed,5,1601.41,face_06.jpg
3506,8/27/2019,2019,,Area Sales Manager,MSC,Sales,Field Operations,Active,0,,,,Full-Time,Temporary,Zone B,34,25-34,4.01,4+ yrs,IN,Fully Meets,4,3,3,3,Leadership Development,Internal,Passed,1,1455.6,face_07.jpg
3507,2/25/2021,2021,,Area Sales Manager,TNS,Sales,Project Management - Con,Active,0,,,,Full-Time,Full-Time,Zone A,45,45-54,2.51,2-3 yrs,CA,Fully Meets,3,1,1,1,Project Management,Internal,Incomplete,4,752.17,face_08.jpg
3508,7/13/2021,2021,,Area Sales Manager,CCDR,Sales,Aerial,Active,0,,,,Full-Time,Part-Time,Zone B,36,35-44,2.14,2-3 yrs,OR,Fully Meets,3,1,5,3,Communication Skills,External,Incomplete,1,532.4,face_09.jpg
3509,4/14/2021,2021,,Area Sales Manager,BPC,Sales,General - Sga,Active,0,,,,Part-Time,Full-Time,Zone C,27,25-34,2.38,2-3 yrs,KY,Fully Meets,4,5,4,5,Leadership Development,External,Passed,4,1979.03,face_10.jpg
3510,2/10/2020,2020,,Area Sales Manager,PYZ,Sales,General - Con,Active,0,,,,Part-Time,Full-Time,Zone A,29,25-34,3.56,3-4 yrs,KY,Fully Meets,4,5,5,4,Technical Skills,External,Passed,4,1149.56,face_11.jpg
3511,8/17/2021,2021,,Area Sales Manager,WBL,Sales,Finance & Accounting,Active,0,,,,Part-Time,Full-Time,Zone B,29,25-34,2.04,2-3 yrs,KY,Fully Meets,3,5,4,4,Technical Skills,Internal,Incomplete,3,1054.24,face_12.jpg
3514,4/15/2020,2020,,Area Sales Manager,BPC,Sales,Wireline Construction,Active,0,,,,Full-Time,Part-Time,Zone B,42,35-44,3.38,3-4 yrs,TX,Fully Meets,3,4,2,1,Leadership Development,Internal,Failed,3,1120.87,face_15.jpg
3516,4/7/2022,2022,,Area Sales Manager,SVG,Sales,Project Management - Con,Active,0,,,,Contract,Part-Time,Zone B,38,35-44,1.4,1-2 yrs,CO,Fully Meets,3,4,3,5,Technical Skills,Internal,Completed,1,1018.05,face_17.jpg
3517,2/19/2020,2020,,Area Sales Manager,EW,Sales,Splicing,Active,0,,,,Part-Time,Part-Time,Zone A,44,35-44,3.53,3-4 yrs,IN,Fully Meets,4,3,5,2,Technical Skills,Internal,Completed,3,1214.62,face_18.jpg
3518,4/10/2021,2021,,Area Sales Manager,MSC,Sales,General - Eng,Active,0,,,,Contract,Part-Time,Zone B,34,25-34,2.39,2-3 yrs,CA,Exceeds,4,3,3,3,Customer Service,Internal,Incomplete,3,460.98,face_19.jpg
3519,12/19/2021,2021,,Area Sales Manager,TNS,Sales,Aerial,Active,0,,,,Part-Time,Temporary,Zone C,38,35-44,1.7,1-2 yrs,CA,Fully Meets,3,3,1,3,Leadership Development,External,Completed,4,2010.92,face_20.jpg
3520,12/13/2020,2020,,Area Sales Manager,TNS,Sales,Project Management - Con,Active,0,,,,Full-Time,Temporary,Zone C,43,35-44,2.72,2-3 yrs,ND,Needs Improvement,2,3,2,3,Customer Service,External,Incomplete,1,1043,face_21.jpg
3521,2/26/2019,2019,,Area Sales Manager,WBL,Sales,General - Con,Active,0,,,,Contract,Part-Time,Zone C,36,35-44,4.51,4+ yrs,KY,Needs Improvement,4,3,3,2,Communication Skills,Internal,Passed,5,479.39,face_22.jpg
3522,3/2/2020,2020,,Area Sales Manager,BPC,Sales,Splicing,Active,0,,,,Full-Time,Part-Time,Zone C,42,35-44,3.5,3-4 yrs,KY,Fully Meets,3,5,4,3,Communication Skills,External,Completed,5,571.78,face_23.jpg
3523,6/25/2021,2021,,Area Sales Manager,CCDR,Sales,General - Con,Active,0,,,,Full-Time,Temporary,Zone A,32,25-34,2.18,2-3 yrs,KY,Exceeds,5,5,4,5,Leadership Development,External,Incomplete,2,2078.26,face_24.jpg
3526,9/15/2022,2022,,Area Sales Manager,NEL,Sales,General - Con,Active,0,,,,Full-Time,Full-Time,Zone B,33,25-34,0.96,<1 yr,TX,Fully Meets,3,3,1,3,Customer Service,Internal,Passed,2,425.91,face_27.jpg
3527,5/1/2020,2020,,Area Sales Manager,PL,Sales,Aerial,Active,0,,,,Full-Time,Temporary,Zone B,35,35-44,3.33,3-4 yrs,CO,Fully Meets,3,3,2,1,Project Management,Internal,Completed,4,1078.25,face_28.jpg
3528,10/13/2022,2022,,Area Sales Manager,PYZ,Sales,Finance & Accounting,Active,0,,,,Full-Time,Part-Time,Zone C,26,25-34,0.88,<1 yr,CO,Fully Meets,3,5,3,1,Technical Skills,External,Failed,1,1237.81,face_29.jpg
3529,1/3/2020,2020,,Area Sales Manager,SVG,Sales,Field Operations,Active,0,,,,Part-Time,Full-Time,Zone C,42,35-44,3.66,3-4 yrs,IN,Fully Meets,2,3,4,1,Project Management,Internal,Completed,1,1211.44,face_30.jpg
3530,11/13/2019,2019,,Area Sales Manager,TNS,Sales,Field Operations,Active,0,,,,Full-Time,Part-Time,Zone B,34,25-34,3.8,3-4 yrs,CA,Fully Meets,2,4,5,3,Customer Service,External,Incomplete,2,616.99,face_31.jpg
3531,6/17/2023,2023,,Area Sales Manager,WBL,Sales,Project Management - Con,Active,0,,,,Full-Time,Full-Time,Zone C,36,35-44,0.21,<1 yr,CA,Fully Meets,4,4,4,2,Leadership Development,External,Failed,3,1900.95,face_32.jpg
3532,10/14/2021,2021,,Area Sales Manager,EW,IT/IS,Wireless,Active,0,,,,Part-Time,Full-Time,Zone B,41,35-44,1.88,1-2 yrs,OR,Fully Meets,3,5,5,3,Technical Skills,Internal,Completed,2,793,face_33.jpg
3533,6/1/2021,2021,,Area Sales Manager,MSC,Sales,General - Sga,Active,0,,,,Contract,Full-Time,Zone B,41,35-44,2.25,2-3 yrs,ND,Fully Meets,4,2,2,2,Leadership Development,Internal,Completed,4,1202.93,face_34.jpg
3534,9/14/2018,2018,,Area Sales Manager,TNS,Sales,Engineers,Active,0,,,,Full-Time,Full-Time,Zone A,45,45-54,4.96,4+ yrs,KY,Fully Meets,2,1,2,1,Customer Service,Internal,Incomplete,3,428.15,face_35.jpg
3535,12/11/2018,2018,,Area Sales Manager,PYZ,Sales,Fielders,Active,0,,,,Full-Time,Temporary,Zone A,38,35-44,4.72,4+ yrs,KY,Fully Meets,3,1,1,3,Technical Skills,External,Passed,1,1093.54,face_36.jpg
3536,8/6/2022,2022,,Area Sales Manager,WBL,Sales,General - Sga,Active,0,,,,Contract,Temporary,Zone C,33,25-34,1.07,1-2 yrs,GA,Exceeds,5,3,3,4,Leadership Development,External,Completed,5,2096.44,face_37.jpg
3539,12/8/2019,2019,,Area Sales Manager,BPC,Sales,General - Con,Active,0,,,,Full-Time,Temporary,Zone C,38,35-44,3.73,3-4 yrs,CO,Needs Improvement,1,2,3,3,Project Management,External,Passed,4,887.54,face_40.jpg
3540,3/12/2020,2020,,Area Sales Manager,CCDR,Sales,Splicing,Active,0,,,,Full-Time,Part-Time,Zone B,24,<25,3.47,3-4 yrs,CO,Exceeds,4,3,4,3,Communication Skills,External,Completed,2,508.56,face_41.jpg
3541,4/6/2020,2020,,Area Sales Manager,SVG,Sales,Field Operations,Active,0,,,,Full-Time,Full-Time,Zone B,26,25-34,3.4,3-4 yrs,IN,Fully Meets,4,5,5,5,Customer Service,External,Failed,4,602.23,face_42.jpg
3542,4/15/2023,2023,,Area Sales Manager,EW,Sales,Field Operations,Active,0,,,,Contract,Temporary,Zone A,25,25-34,0.38,<1 yr,IN,Exceeds,5,5,5,5,Project Management,Internal,Passed,4,1006.71,face_43.jpg
3543,11/10/2020,2020,,Area Sales Manager,MSC,Sales,General - Con,Active,0,,,,Part-Time,Temporary,Zone A,29,25-34,2.81,2-3 yrs,CA,Fully Meets,3,2,3,4,Communication Skills,External,Completed,4,697.18,face_44.jpg
3544,6/29/2023,2023,,Area Sales Manager,TNS,Sales,Aerial,Active,0,,,,Contract,Temporary,Zone A,40,35-44,0.18,<1 yr,CA,Fully Meets,3,2,4,3,Leadership Development,External,Passed,3,2121.03,face_45.jpg
3545,3/7/2022,2022,,Area Sales Manager,EW,IT/IS,Field Operations,Active,0,,,,Full-Time,Temporary,Zone C,29,25-34,1.49,1-2 yrs,OR,Fully Meets,3,4,2,5,Customer Service,External,Failed,5,609.34,face_46.jpg
3546,7/31/2021,2021,,Area Sales Manager,CCDR,Sales,General - Con,Active,0,,,,Full-Time,Part-Time,Zone B,34,25-34,2.09,2-3 yrs,ND,Exceeds,3,5,4,4,Project Management,External,Passed,4,1411.4,face_47.jpg
3547,1/20/2022,2022,,Area Sales Manager,BPC,Sales,Project Management - Eng,Active,0,,,,Contract,Full-Time,Zone B,48,45-54,1.61,1-2 yrs,KY,Fully Meets,3,5,5,4,Technical Skills,External,Completed,4,1228.5,face_48.jpg
3548,7/11/2021,2021,,Area Sales Manager,WBL,Sales,General - Con,Active,0,,,,Part-Time,Full-Time,Zone A,34,25-34,2.14,2-3 yrs,KY,Fully Meets,2,3,4,4,Leadership Development,External,Completed,3,1473.15,face_49.jpg
3549,10/15/2018,2018,,Area Sales Manager,TNS,Sales,Field Operations,Active,0,,,,Full-Time,Full-Time,Zone C,45,45-54,4.88,4+ yrs,GA,Fully Meets,3,5,4,3,Communication Skills,External,Passed,5,511.89,face_50.jpg
3551,8/11/2018,2018,,Area Sales Manager,PYZ,Sales,Engineers,Active,0,,,,Part-Time,Part-Time,Zone C,31,25-34,5.06,4+ yrs,TX,Exceeds,3,4,4,5,Communication Skills,External,Completed,1,515.26,face_02.jpg
3552,2/16/2020,2020,,Area Sales Manager,PL,Sales,Field Operations,Active,0,,,,Full-Time,Full-Time,Zone B,36,35-44,3.54,3-4 yrs,CO,Fully Meets,2,3,3,1,Leadership Development,External,Passed,4,1660.15,face_03.jpg
3553,1/20/2020,2020,,Area Sales Manager,NEL,Sales,Field Operations,Active,0,,,,Contract,Temporary,Zone C,30,25-34,3.61,3-4 yrs,CO,Exceeds,4,5,5,3,Project Management,Internal,Incomplete,5,705.1,face_04.jpg
